fiscal_year,organization_name,project_name,city,province,region,community_type,grant_or_contribution,amount_approved,presenter_type,disciplines,audiences,project_sub_type,project_type,amount_category,disciplines_media_art,disciplines_music,disciplines_theatre,disciplines_performance_art,disciplines_dance,disciplines_comedy,disciplines_circus,disciplines_other,disciplines_literature,disciplines_visual_arts,disciplines_storytelling,disciplines_variety,disciplines_heritage_centre/site,disciplines_cinema,audiences_cultural_diversity,audiences_young_audience,audiences_none,audiences_indigenous_communities,audiences_official_language_minority,audiences_rural_or_remote_regions
2016-2017,Maison des arts de Laval,Programmation MAISON DES ARTS DE LAVAL 2015 et 2016 - Multi Year (2 of 2),Laval,Quebec,Quebec,Large Urban,Grant,20000,Multidisciplinary,"['Visual Arts', 'Dance', 'Music', 'Theatre']",['Young Audience'],Programming,Series,$12.0K,False,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
2016-2017,Les 4 ScÃÂ¨nes,Les 4 scÃÂ¨nes complice de vos dÃÂ©couvertes (2016-2017 et 2017-2018) - Multi Year (1 of 2),DÃÂ©gelis,Quebec,Quebec,Remote,Grant,10000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy', 'Circus']",['Young Audience'],Programming,Series,$8.0K,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,Filles ÃÂ©lectriques (Les),Festival PhÃÂ©nomena - Multi Year (2 of 2),MontrÃÂ©al,Quebec,Quebec,Large Urban,Grant,25000,Multidisciplinary,"['Dance', 'Literature', 'Music', 'Theatre']","['Official Language Minority', 'Cultural Diversity']",Programming,Festival,$23.0K,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
2017-2018,Biennale internationale du lin de Portneuf (La),PassÃÂ© inaperÃÂ§u,Saint-LÃÂ©onard-de-Portneuf,Quebec,Quebec,Rural,Grant,13000,Specialized,['Visual Arts'],['None'],Programming,Series,$12.0K,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2017-2018,Great Northern Arts Festival Society (The),The Great Northern Arts Festival - Multi Year (1 of 2),Inuvik,Northwest Territories,Prairies,Remote,Grant,35000,Multidisciplinary,"['Visual Arts', 'Dance', 'Music']","['Young Audience', 'Indigenous Communities']",Programming,Festival,$23.0K,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2016-2017,Festival MontrÃÂ©al Mundial,'World Routes'' Network,MontrÃÂ©al,Quebec,Quebec,Large Urban,Contribution,20000,Specialized,['Music'],['None'],Programming,Presenters Support Organization,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Loyal Blues Fellowship Inc.,Blues in the Schools Performance Series,Carrying Place,Ontario,Ontario,Rural,Grant,5000,Specialized,['Music'],['Young Audience'],Programming,Series,less than $8.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,Lula Music and Arts Centre,Lulaworld 2016,Toronto,Ontario,Ontario,Large Urban,Grant,10000,Specialized,['Music'],"['Cultural Diversity', 'Young Audience']",Programming,Festival & Series,$8.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2017-2018,Ontario Campus & Community Impresarios,Strengths-Based Development of Ontario's Arts Presentation Sector - Multi Year (2 of 2),Toronto,Ontario,Ontario,Large Urban,Contribution,95000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy']",['None'],Programming,Presenters Support Organization,$50.0K,False,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Windsor Feminist Theatre,Pelee Island Stone & Sky Music & Art Series,Windsor,Ontario,Ontario,Large Urban,Grant,10000,Multidisciplinary,"['Visual Arts', 'Literature', 'Music', 'Theatre']",['Indigenous Communities'],Programming,Series,$8.0K,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False
2017-2018,Prince George Folkfest Society,Coldsnap - The Prince George Winter Music Festival - Multi Year (1 of 2),Prince George,British Columbia,Western,Small Urban,Grant,15000,Specialized,['Music'],['None'],Programming,Festival,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Fall for Dance North Festival Inc.,Fall for Dance North Festival,Toronto,Ontario,Ontario,Large Urban,Contribution,50000,Specialized,['Dance'],['None'],Programming,Festival,$23.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Festival de la chanson de Tadoussac,Festival de la Chanson de Tadoussac 2016 + 2017 | Saison de programmation hors festival 2016 + 2017 - Multi Year (1 of 2),Tadoussac,Quebec,Quebec,Rural,Grant,40000,Multidisciplinary,"['Music', 'Theatre', 'Comedy', 'Other']",['Young Audience'],Programming,Festival & Series,$23.0K,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Festival Zoofest,9e ÃÂ©dition du Festival Zoofest,MontrÃÂ©al,Quebec,Quebec,Large Urban,Grant,10000,Specialized,['Comedy'],['Young Audience'],Programming,Festival,$8.0K,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Kaha:wi Dance Theatre,Living Ritual - International Indigenous Performance Festival,Toronto,Ontario,Ontario,Large Urban,Grant,50000,Multidisciplinary,"['Dance', 'Music', 'Theatre']",['Indigenous Communities'],Development,Festival,$23.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2017-2018,Association culturelle franco-manitobaine inc. (L'),Le dÃÂ©veloppement de la diffusion en ruralitÃÂ© Manitobaine - Multi Year (1 of 4),Winnipeg,Manitoba,Prairies,Large Urban,Contribution,43500,Multidisciplinary,"['Dance', 'Music', 'Theatre']",['Official Language Minority'],Development,Presenters Support Organization,$23.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-2017,Festival international de musique baroque de LamÃÂ¨que/LamÃÂ¨que International Festival of Baroque Music,Saison 2016-41e ÃÂ©dition,LamÃÂ¨que,New Brunswick,Atlantic,Remote,Grant,17500,Specialized,['Music'],['Official Language Minority'],Programming,Festival,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2017-2018,Regina Public Library Board,In Situ - Multi Year (1 of 4),Regina,Saskatchewan,Prairies,Medium Urban,Grant,15000,Multidisciplinary,"['Visual Arts', 'Dance', 'Media Art', 'Music', 'Theatre']",['None'],Programming,Series,$12.0K,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2017-2018,Made in BC - Dance on Tour Society,Made in BC - Dance on Tour - Multi Year (1 of 3),Vancouver,British Columbia,Western,Large Urban,Grant,70000,Specialized,['Dance'],['None'],Programming,Presenters Support Organization,$50.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,FrancoFolies de MontrÃÂ©al inc. (Les),27e et 28e ÃÂ©dition des FrancoFolies de MontrÃÂ©al (2016 & 2017) - Multi Year (2 of 2),MontrÃÂ©al,Quebec,Quebec,Large Urban,Contribution,175000,Specialized,['Music'],['None'],Programming,Festival,$50.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Music in the Morning Concert Society,Music in the Morning - Multi Year (2 of 2),Vancouver,British Columbia,Western,Large Urban,Grant,15000,Specialized,['Music'],['Young Audience'],Programming,Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,Festival international de Danse Encore,22e ÃÂ©dition DansEncore,Trois-RiviÃÂ¨res,Quebec,Quebec,Medium Urban,Grant,45000,Specialized,['Dance'],"['Cultural Diversity', 'Young Audience']",Programming,Festival,$23.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2016-2017,Dawson City Arts Society,KIAC Performing Arts Series - Multi Year (1 of 2),Dawson City,Yukon,Western,Remote,Grant,7500,Multidisciplinary,"['Visual Arts', 'Dance', 'Media Art', 'Music', 'Theatre']","['Young Audience', 'Indigenous Communities']",Programming,Series,less than $8.0K,True,True,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False
2016-2017,FADO Performance Inc.,2016-2017 and 2017-2018 Programming Season - Multi Year (1 of 2),Toronto,Ontario,Ontario,Large Urban,Grant,18000,Specialized,['Performance Art'],['None'],Programming,Series,$12.0K,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Mainline Theatre / ThÃÂ©ÃÂ¢tre Mainline,Montreal Fringe Festival & Mainline Theatre Seasons - Multi Year (1 of 2),MontrÃÂ©al,Quebec,Quebec,Large Urban,Grant,30000,Multidisciplinary,"['Visual Arts', 'Music', 'Theatre', 'Other']","['Official Language Minority', 'Cultural Diversity']",Programming,Festival,$23.0K,False,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False
2017-2018,Music on Main Society,"Public Presentation Programme (Main Series, A Month of Tuesdays, Artist Residencies)",Vancouver,British Columbia,Western,Large Urban,Grant,20000,Specialized,['Music'],['Young Audience'],Programming,Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Aluna Theatre,CAMINOS Arts Festival | RUTAS panamericanas International Performing Arts Festival - Multi Year (1 of 2),Toronto,Ontario,Ontario,Large Urban,Grant,20000,Multidisciplinary,"['Music', 'Theatre']",['Cultural Diversity'],Programming,Festival,$12.0K,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2017-2018,Belle-Alliance LtÃÂ©e (La),"EnracinÃÂ©s,...nous sommes! - Multi Year (2 of 2)",Summerside,Prince Edward Island,Atlantic,Rural,Grant,13000,Multidisciplinary,['Music'],['Official Language Minority'],Programming,Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2017-2018,Corporation de dÃÂ©veloppement culturel de Trois-RiviÃÂ¨res,Programmation 2016-2017 - Multi Year (2 of 2),Trois-RiviÃÂ¨res,Quebec,Quebec,Medium Urban,Grant,43000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy', 'Other']",['Young Audience'],Programming,Series,$23.0K,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Festival International du Rire,ComediHa! Fest - Multi Year (1 of 2),Quebec,Quebec,Quebec,Large Urban,Grant,70000,Specialized,['Comedy'],"['Official Language Minority', 'Young Audience']",Programming,Festival & Series,$50.0K,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2016-2017,Ness Creek Cultural and Recreational Society Inc.,Ness Creek Music Festival - Multi Year (1 of 2),Saskatoon,Saskatchewan,Prairies,Large Urban,Grant,28000,Specialized,['Music'],['None'],Programming,Festival & Series,$23.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,RÃÂ©seau ScÃÂ¨nes,Demande triennale 2017-2020 - Multi Year (1 of 3),MontrÃÂ©al,Quebec,Quebec,Large Urban,Grant,35000,Multidisciplinary,"['Dance', 'Music', 'Theatre']",['None'],Programming,Presenters Support Organization,$23.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,H.C.A. Dance Theatre,Dusk Dances Hamilton,Hamilton,Ontario,Ontario,Large Urban,Grant,9000,Multidisciplinary,"['Dance', 'Music']",['None'],Programming,Festival,$8.0K,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Ottawa Jazz Festival Inc.,Ottawa Jazz Festival - Multi Year (2 of 2),Ottawa,Ontario,Ontario,Large Urban,Contribution,170000,Specialized,['Music'],['None'],Programming,Festival,$50.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Musique du Bout du Monde,Festival Musique du Bout du monde (2016-2017 et 2017-2018) - Multi Year (2 of 2),GaspÃÂ©,Quebec,Quebec,Remote,Grant,33000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Circus']","['Official Language Minority', 'Cultural Diversity', 'Young Audience', 'Indigenous Communities']",Programming,Festival,$23.0K,False,True,True,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,False
2017-2018,Porquis Recreation Association,Porquis Music Festival - Multi Year (2 of 2),Iroquois Falls,Ontario,Ontario,Rural,Grant,14000,Specialized,['Music'],"['Official Language Minority', 'Young Audience', 'Indigenous Communities']",Programming,Festival,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False
2016-2017,Festival African Heritage Music and Dance Society,African Heritage Festival of Music and Dance (AHFOMAD2016),Surrey,British Columbia,Western,Large Urban,Contribution,50000,Multidisciplinary,"['Visual Arts', 'Dance', 'Media Art', 'Music']","['Official Language Minority', 'Cultural Diversity', 'Young Audience', 'Indigenous Communities']",Development,Festival,$23.0K,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False
2017-2018,SociÃÂ©tÃÂ© de diffusion de spectacles de Saint-Hyacinthe,Programmation SDS - Saisons 2017 ÃÂ  2021 - Multi Year (1 of 4),Saint-Hyacinthe,Quebec,Quebec,Large Urban,Grant,30000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy', 'Circus']",['Young Audience'],Programming,Series,$23.0K,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Vancouver Tap Dance Society,Vancouver International Tap Festival - tap dance - Multi Year (1 of 2),Vancouver,British Columbia,Western,Large Urban,Grant,7000,Specialized,['Dance'],['None'],Programming,Festival,less than $8.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Centre de Production et d'Exposition Eastern Bloc,"Sight & Sound Festival, 8th Edition",MontrÃÂ©al,Quebec,Quebec,Large Urban,Grant,10000,Specialized,['Media Art'],['Official Language Minority'],Programming,Festival,$8.0K,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2017-2018,Seismic Shift Arts Society,2016-17 and 2017-18 Seasons - Multi Year (2 of 2),Vancouver,British Columbia,Western,Large Urban,Contribution,80000,Specialized,['Dance'],['Young Audience'],Programming,Series,$50.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Productions de l'ÃÂtoile Inc.,VariÃÂ©tÃÂ© de spectacles prÃÂ©sentÃÂ©s en saison rÃÂ©guliÃÂ¨re - Multi Year (1 of 3),Caraquet,New Brunswick,Atlantic,Remote,Grant,25200,Specialized,['Theatre'],['Official Language Minority'],Programming,Series,$23.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2017-2018,ThÃÂ©ÃÂ¢tre les gens d'en bas inc. (Le),"CrÃÂ©ation-saisons 2017-2018, 2018-2019 et 2019-2020 - Multi Year (1 of 3)",Rimouski,Quebec,Quebec,Rural,Grant,30000,Specialized,['Theatre'],['None'],Programming,Series,$23.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,UniversitÃÂ© de Sherbrooke / Centre culturel,Diffusion pluridisciplinaire - Multi Year (1 of 2),Sherbrooke,Quebec,Quebec,Medium Urban,Grant,45000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy', 'Other']","['Official Language Minority', 'Young Audience']",Programming,Series,$23.0K,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False
2017-2018,Sound Arts Initiatives Inc.,Sound Symposium XVIII - Multi Year (2 of 2),St. John's,Newfoundland and Labrador,Atlantic,Medium Urban,Grant,10000,Specialized,['Music'],['None'],Programming,Festival & Series,$8.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,MacBeck Studios Inc.,DanceWorks Mainstage Series - Multi Year (1 of 2),Toronto,Ontario,Ontario,Large Urban,Grant,68000,Specialized,['Dance'],['Young Audience'],Programming,Series,$50.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Africa New Music / Afrique Nouvelle Musique,Bana y Afrique sÃÂ©rie 2017-18,Toronto,Ontario,Ontario,Large Urban,Grant,10000,Multidisciplinary,"['Dance', 'Literature', 'Music']","['Official Language Minority', 'Cultural Diversity', 'Young Audience']",Programming,Series,$8.0K,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
2016-2017,Rapid Fire Theatre Society,Improvaganza International Comedy Festival - Multi Year (2 of 2),Edmonton,Alberta,Western,Large Urban,Grant,8000,Specialized,['Comedy'],"['Official Language Minority', 'Cultural Diversity', 'Young Audience']",Programming,Festival,less than $8.0K,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False
2016-2017,ThÃÂ©ÃÂ¢tre Centennial / UniversitÃÂ© Bishop's,Une saison anniversaire,Sherbrooke,Quebec,Quebec,Medium Urban,Grant,47000,Multidisciplinary,"['Dance', 'Music', 'Theatre']","['Official Language Minority', 'Cultural Diversity', 'Young Audience']",Programming,Festival & Series,$23.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False
2017-2018,Royal Manitoba Theatre Centre Inc.,2016 & 2017 Winnipeg Fringe Theatre Festival - Multi Year (2 of 2),Winnipeg,Manitoba,Prairies,Large Urban,Grant,66300,Specialized,['Theatre'],['Young Audience'],Programming,Festival,$50.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,Festival International du Rire,Festival Grand Rire 2015 et 2016 - Multi Year (2 of 2),Quebec,Quebec,Quebec,Large Urban,Contribution,70000,Specialized,['Comedy'],"['Official Language Minority', 'Young Audience']",Programming,Festival & Series,$50.0K,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2017-2018,Mushkegowuk Council,CreeFest 2016 - Ininew Makoshewin - Multi Year (2 of 2),Moose Factory,Ontario,Ontario,Remote,Grant,45000,Multidisciplinary,"['Dance', 'Music']","['Young Audience', 'Indigenous Communities']",Programming,Festival,$23.0K,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
2017-2018,Corporation of the Town of Perth,Stewart Park Festival,Perth,Ontario,Ontario,Rural,Grant,10000,Multidisciplinary,"['Music', 'Theatre', 'Comedy']",['None'],Programming,Festival,$8.0K,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Numus Inc.,Contemporary Music,Waterloo,Ontario,Ontario,Small Urban,Grant,17000,Specialized,['Music'],['Young Audience'],Programming,Series,$12.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Just for Laughs Toronto Festival,JFL42: Toronto's Comedy Festival,Toronto,Ontario,Ontario,Large Urban,Grant,50000,Specialized,['Comedy'],['None'],Programming,Festival,$23.0K,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,SociÃÂ©tÃÂ© culturelle de Vanier (La),Centre d'art La Chapelle 2015 et 2016 - Multi Year (2 of 2),Quebec,Quebec,Quebec,Large Urban,Grant,23000,Multidisciplinary,"['Music', 'Theatre', 'Comedy']",['Young Audience'],Programming,Series,$12.0K,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,Live Art Productions Society,Dance Season for 2016/17 and  2017/18 - Multi Year (2 of 2),Halifax,Nova Scotia,Atlantic,Large Urban,Contribution,100000,Specialized,['Dance'],['Official Language Minority'],Programming,Series,$50.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2016-2017,Ottawa Bluesfest,2016 RBC Royal Bank Ottawa Bluesfest - Multi Year (I of 2),Ottawa,Ontario,Ontario,Large Urban,Contribution,75000,Specialized,['Music'],['None'],Programming,Festival,$50.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Kinetic Studio Society,Kinetic Studio Series,Halifax,Nova Scotia,Atlantic,Large Urban,Grant,9000,Specialized,['Dance'],['None'],Programming,Series,$8.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Northern Lights Festival BorÃÂ©al,Northern Lights Festival BorÃÂ©al - Multi Year (1 of 2),Sudbury,Ontario,Ontario,Medium Urban,Contribution,60000,Specialized,['Music'],"['Official Language Minority', 'Cultural Diversity', 'Young Audience', 'Indigenous Communities']",Programming,Festival,$50.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,False
2016-2017,JM Drama Alumni,2016-2017 Season & 2017-2018 Season - Multi Year (1 of 2),Kitchener,Ontario,Ontario,Large Urban,Grant,40000,Multidisciplinary,"['Dance', 'Music', 'Theatre']",['Young Audience'],Programming,Series,$23.0K,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
