fiscal_year,organization_name,project_name,city,province,region,community_type,grant_or_contribution,amount_approved,presenter_type,disciplines,audiences,project_sub_type,project_type,amount_category,disciplines_media_art,disciplines_music,disciplines_theatre,disciplines_performance_art,disciplines_dance,disciplines_comedy,disciplines_circus,disciplines_other,disciplines_literature,disciplines_visual_arts,disciplines_storytelling,disciplines_variety,disciplines_heritage_centre/site,disciplines_cinema,audiences_cultural_diversity,audiences_young_audience,audiences_none,audiences_indigenous_communities,audiences_official_language_minority,audiences_rural_or_remote_regions
2017-2018,Chester Theatre Council Society,Chester Playhouse Presentation Series - Multi Year (1 of 2),Chester,Nova Scotia,Atlantic,Rural,Grant,10500,Multidisciplinary,"['Media Art', 'Music', 'Theatre']","['Cultural Diversity', 'Young Audience']",Programming,Series,$8.0K,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False
2017-2018,Queer City Cinema Inc.,Performatorium 2017,Regina,Saskatchewan,Prairies,Medium Urban,Contribution,3000,Multidisciplinary,"['Media Art', 'Performance Art']",['None'],Programming,Festival,less than $8.0K,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Fall for Dance North Festival Inc.,Fall for Dance North Festival 2017 - Multi Year (1 of 3),Toronto,Ontario,Ontario,Large Urban,Grant,45000,Specialized,['Dance'],['None'],Programming,Festival,$23.0K,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Firehall Theatre Society (The),The Firehall Art Centre's Performing and Visual Arts Presentation Program - Multi Year (1 of 3),Vancouver,British Columbia,Western,Large Urban,Grant,70000,Multidisciplinary,"['Dance', 'Theatre']","['Cultural Diversity', 'Indigenous Communities']",Programming,Series,$50.0K,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
2016-2017,Burlington Theatre Board Inc. (The),The Burlington Performing Arts Centre Presents,Burlington,Ontario,Ontario,Medium Urban,Contribution,45000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy', 'Circus']","['Official Language Minority', 'Cultural Diversity', 'Young Audience']",Programming,Series,$23.0K,False,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,False,True,False
2016-2017,Jeunesses Musicales Canada,Saison 2015-2016 et Saison 2016-2017 - Multi Year (2 of 2),MontrÃÂ©al,Quebec,Quebec,Large Urban,Grant,30000,Specialized,['Music'],"['Official Language Minority', 'Young Audience']",Programming,Series,$23.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
2017-2018,Diffusions Plein Sud,En toute intimitÃÂ© 13 (2017-2018) / En toute intimitÃÂ© 14 (2018-2019) / En toute intimitÃÂ© 15 (2019-2020) - Multi Year (1 of 3),BÃÂ©cancour,Quebec,Quebec,Medium Urban,Grant,10000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Circus', 'Other']",['Young Audience'],Programming,Series,$8.0K,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,ThÃÂ©ÃÂ¢tre du Marais de Val-Morin,Programmation 2016-2017 et 2017-2018 - Multi Year (1 of 2),Val-Morin,Quebec,Quebec,Rural,Grant,17500,Multidisciplinary,"['Music', 'Theatre', 'Comedy', 'Other']",['Young Audience'],Programming,Series,$12.0K,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
2016-2017,Centre Culturel Aberdeen Inc.,Programmation annuelle,Moncton,New Brunswick,Atlantic,Small Urban,Grant,15000,Multidisciplinary,"['Literature', 'Media Art', 'Music', 'Comedy', 'Circus']",['Official Language Minority'],Programming,Series,$12.0K,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False
2016-2017,SociÃÂ©tÃÂ© historique de la Mer Rouge inc. (La),35e ÃÂtÃÂ© musical de l'ÃÂglise historique de Barachois - Multi Year (2 of 2),Grand Barachois,New Brunswick,Atlantic,Remote,Grant,10000,Specialized,['Music'],['Official Language Minority'],Programming,Series,$8.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2017-2018,Productions de la Salle Comble (Les),Programmations annuelles 2016-2017 et 2017-2018 - Multi Year (2 of 2),Sainte-Anne-des-Monts,Quebec,Quebec,Remote,Grant,10000,Multidisciplinary,"['Music', 'Theatre', 'Comedy', 'Other']",['Cultural Diversity'],Programming,Series,$8.0K,False,True,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2016-2017,Winnipeg Symphony Orchestra Inc. (The),"2016 New Music Festival, 2017 New Music Festival - Multi Year (2 of 2)",Winnipeg,Manitoba,Prairies,Large Urban,Contribution,55000,Specialized,['Music'],['None'],Programming,Festival & Series,$50.0K,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,"ArriÃÂ¨re scÃÂ¨ne (L'), Centre dramatique pour l'enfance et la jeunesse en MontÃÂ©rÃÂ©gie",Programmation jeune public saison 2015-2016 et 2016-2017 - Multi Year (2 of 2),Beloeil,Quebec,Quebec,Large Urban,Grant,33000,Specialized,['Theatre'],['Young Audience'],Programming,Series,$23.0K,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2017-2018,RÃÂ©seau indÃÂ©pendant des diffuseurs d'ÃÂ©vÃÂ©nements artistiques unis (RIDEAU) inc.,Appui structurant pour une diffusion professionnelle et diversifiÃÂ©e au Canada - Multi Year (2 of 2),MontrÃÂ©al,Quebec,Quebec,Large Urban,Contribution,360000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Performance Art']",['None'],Programming,Presenters Support Organization,$50.0K,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
2016-2017,Saskatchewan Festival of Words Inc.,Saskatchewan Festival of Words,Moose Jaw,Saskatchewan,Prairies,Rural,Grant,30000,Specialized,['Literature'],['None'],Programming,Festival & Series,$23.0K,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
2017-2018,Diffusion culturelle de LÃÂ©vis,Programmation 2016 et programmation 2017 - Des artistes prÃÂ¨s de vous! - Multi Year (2 of 2),LÃÂ©vis,Quebec,Quebec,Medium Urban,Grant,45000,Multidisciplinary,"['Dance', 'Music', 'Theatre', 'Comedy', 'Other']",['Young Audience'],Programming,Series,$23.0K,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False
